"name","latitude","longitude"
"Hackerspace Ffm e.V.","50.188757","8.591192"
"23b Shop","33.870273","-117.924671"
"Kilmarnock Hackerspace","55.610105","-4.496094"
"Weird Science Salon","47.6691","-122.385802"
"Site 3 coLaboratory","43.66189","-79.425603"
"Undefspace","55.75396","37.65248"
"MacGyver","50.079597","14.394864"
"Factory Two","43.016022","-83.69776"
"BioClub","35.65604","139.695448"
"BioClub Tokyo","35.656008","139.695501"
"East Essex Hackspace","51.596983","0.672717"
"Inventor Forge Maker Space","38.742885","-90.601176"
"LINKPing","58.412338","15.628279"
"The MakerHive","41.710151","-85.96791"
"Greenbridge","39.558926","21.768673"
"Tricity Hackerspace","54.38969","18.58161"
"Hackerspace Trójmiasto","54.389605","18.581783"
"BeLUG","52.5344","13.358581"
"IN-Berlin","52.5344","13.358581"
"Telford Makerspace","52.703642","-2.518231"
"BUDA::lab","50.830201","3.265589"
"Skillhouse","29.678167","-82.330506"
"Newcastle Public Makerspace","-32.923447","151.751744"
"CreatorSpace","29.51","-95.091"
"Sarai","28.675531","77.223271"
"Huntsville Alabama L5 Society (HAL5) - Project HALO","34.722792","-86.589593"
"Startable Hub","14.651866","121.032456"
"A.R.N.","44.754277","5.371105"
"EmancipoLab","48.862093","2.38457"
"BFZ Berlin e.V.","52.41133","13.39441"
"LuneLab Makerspace","54.075804","-2.753872"
"ComputerClub Itzehoe","53.938","9.50194"
"Creator Makerspace","58.896682","5.704028"
"Raul Hacker Club","-12.994779","-38.502896"
"M.A.G. Lab","34.038478","-117.82149"
"GeekspaceGwinnett","33.985454","-83.958679"
"MakerSpace Bonn","50.698324","7.142953"
"Vigyan Ashram DIY Lab","18.5333","73.8514"
"Technocopia Worcester","42.259717","-71.801956"
"Technocopia Downtown","42.259821","-71.802008"
"Pica Pica HackLab","43.3603","-5.84338"
"Robot Garden","37.713071","-121.702142"
"Hackspace Marburg","50.8162","8.77806"
"Dataklubb","58.851508","5.739473"
"Freeside Atlanta","33.67046","-84.398763"
"Recompile","55.606645","13.025866"
"Base48","49.22424","16.59555"
"Richmond Makerlabs","51.437503","-0.317141"
"Opennet - Frieda23","54.091214","12.12293"
"Teesside Hackspace","54.587934","-1.252442"
"Hackerspace Minsk","53.94306","27.5976"
"Tech Valley Center of Gravity","42.731155","-73.690039"
"ChattLab","35.063306","-85.311035"
"Anno lab","33.572059","130.399383"
"Tartu Häkkerikoda","58.386791","26.727323"
"Entropia","49.00666","8.40719"
"Kaouenn-noz","48.0998","-1.65328"
"SZDIY","22.53402","113.93843"
"Niemandsland","51.21183","6.808426"
"NYC Resistor","40.683652","-73.981542"
"Chris DiMauro","40.68362","-73.981692"
"Horten Folkeverksted","59.371025","10.441582"
"Mz Baltazar's Laboratory","48.233168","16.370574"
